date,max_temp,min_temp,grass_min_temp,ground_min_temp,rainfall,mean_sea_level_pressure,wind_speed,humidity,wind_direction,wind_gust,sunshine_duration,day_of_season,soil_temperature,potential_evapotranspiration,evaporation,soil_moisture_wet,soil_moisture_moderate,soil_moisture_dry
1979-10-28,11.2,5.6,0.0,3.0,8.0,990.7,8.9,18.0,310.0,28.0,4.8,0.0,9.35,0.5,0.8,0.0,-7.5,-7.5
1979-10-29,12.1,6.3,0.0,1.5,0.3,991.0,6.8,16.0,190.0,21.0,0.3,0.0,9.05,0.5,0.7,0.2,0.2,-6.9
1979-10-30,14.2,9.2,0.0,8.7,2.8,983.6,15.9,28.0,210.0,38.0,0.0,0.0,10.8,0.6,0.9,0.0,-2.0,-8.8
1979-10-31,12.4,5.1,0.0,0.0,1.3,984.7,11.1,18.0,230.0,26.0,6.8,0.0,9.55,0.8,1.1,0.0,-0.5,-8.8
1979-11-01,11.4,4.3,0.0,1.5,0.0,995.0,7.8,14.0,250.0,20.0,6.5,0.0,8.475,0.8,1.0,0.8,0.8,-7.6
1979-11-02,13.8,6.0,0.0,0.2,20.6,998.8,14.6,29.0,190.0,40.0,0.0,0.0,9.1,0.5,0.7,0.0,-10.0,-10.0
1979-11-03,14.4,10.2,0.0,11.5,4.9,995.0,17.4,26.0,230.0,39.0,0.0,0.0,11.75,0.3,0.6,0.0,-4.6,-10.0
1979-11-04,10.9,6.8,0.0,3.5,1.9,992.9,13.1,31.0,250.0,44.0,4.0,0.0,10.25,0.5,0.8,0.0,-1.4,-10.0
1979-11-05,12.5,6.7,0.0,4.5,1.7,989.6,16.1,26.0,270.0,41.0,0.2,0.0,9.075,0.9,1.2,0.0,-0.8,-10.0
1979-11-06,14.0,10.3,0.0,9.9,1.4,986.8,15.5,32.0,280.0,49.0,3.5,0.0,10.275,1.2,1.5,0.0,-0.2,-9.7
1979-11-07,14.3,6.2,0.0,7.0,4.5,984.0,13.9,30.0,290.0,47.0,2.1,0.0,10.375,0.8,1.0,0.0,-3.7,-10.0
