date,total_rainfall,mean_temperature,soil_temperature,solar_radiation,potential_evapotranspiration,evaporation,degree_days_below_fiften_point_five_degrees_celsius,year,month
2021-01-01,131.3,5.8,4.9,,11.7,16.4,,2021,1
2021-02-01,97.2,5.9,4.9,,18.8,28.0,,2021,2
2021-03-01,91.5,6.8,5.9,,31.8,49.1,,2021,3
2021-04-01,86.5,8.5,8.2,,51.8,79.4,,2021,4
2021-05-01,80.8,11.0,11.5,,70.2,106.1,,2021,5
2021-06-01,83.3,13.5,14.4,,82.0,120.6,,2021,6
2021-07-01,87.2,15.1,15.7,,79.4,114.6,,2021,7
2021-08-01,94.6,15.0,15.2,,67.0,96.2,,2021,8
2021-09-01,92.0,13.3,13.1,,45.2,65.6,,2021,9
2021-10-01,131.2,10.5,10.0,,24.4,35.5,,2021,10
2021-11-01,127.0,7.8,7.2,,12.8,18.0,,2021,11
2021-12-01,136.6,6.2,5.6,,10.2,13.7,,2021,12
2022-01-01,38.3,6.5,5.7,8502.0,13.9,17.5,281.0,2022,1
2022-02-01,112.3,7.0,6.2,15656.0,20.6,30.6,238.0,2022,2
2022-03-01,61.9,7.3,5.8,35033.0,43.4,66.2,254.0,2022,3
2022-04-01,64.9,9.0,9.1,44655.0,58.0,89.1,194.0,2022,4
2022-05-01,35.7,12.1,13.2,54430.0,76.3,118.7,112.0,2022,5
2022-06-01,84.1,13.4,14.6,50965.0,79.3,122.5,79.0,2022,6
2022-07-01,28.1,16.1,16.7,55126.0,93.6,127.5,32.0,2022,7
2022-08-01,14.2,17.1,17.2,57755.0,96.6,134.6,28.0,2022,8
2022-09-01,162.7,13.8,13.6,31866.0,49.9,71.6,68.0,2022,9
2022-10-01,232.5,11.9,11.6,17721.0,25.7,37.6,112.0,2022,10
2022-11-01,203.4,8.8,7.9,10159.0,12.7,16.5,202.0,2022,11
2022-12-01,112.6,4.7,4.5,8257.0,10.7,11.9,334.0,2022,12
2023-01-01,134.6,6.1,5.0,9290.0,12.5,15.3,293.0,2023,1
2023-02-01,15.2,7.4,5.7,14574.0,19.6,27.7,228.0,2023,2
2023-03-01,211.4,7.3,6.6,21900.0,29.7,47.3,255.0,2023,3
2023-04-01,52.0,8.9,9.1,36599.0,47.6,75.3,199.0,2023,4
2023-05-01,44.9,12.7,14.0,61773.0,87.8,124.8,98.0,2023,5
2023-06-01,50.3,15.8,18.0,61140.0,91.4,133.1,31.0,2023,6
2023-07-01,145.2,14.7,15.8,51925.0,79.0,120.9,50.0,2023,7
2023-08-01,117.8,15.4,15.7,44411.0,67.4,102.2,32.0,2023,8
2023-09-01,171.4,14.6,14.6,32707.0,45.5,69.5,61.0,2023,9
2023-10-01,307.2,11.2,11.1,17057.0,21.7,31.5,137.0,2023,10
2023-11-01,108.2,8.1,7.4,12720.0,15.4,19.0,223.0,2023,11
2023-12-01,169.1,7.6,6.9,7160.0,12.1,15.2,244.0,2023,12
2024-01-01,99.5,4.8,4.0,9611.0,14.1,17.0,331.0,2024,1
2024-02-01,157.7,8.0,7.3,15141.0,18.5,27.1,217.0,2024,2
2024-03-01,168.2,7.5,7.1,24948.0,29.5,49.4,248.0,2024,3
2024-04-01,107.1,9.3,9.5,40987.0,51.7,84.3,187.0,2024,4
2024-05-01,109.6,12.4,13.0,50335.0,70.7,110.5,107.0,2024,5
2024-06-01,35.1,13.4,15.5,60515.0,89.7,137.6,82.0,2024,6
2024-07-01,58.5,14.5,15.8,52007.0,78.3,118.8,56.0,2024,7
2024-08-01,71.6,14.7,15.6,44076.0,63.8,97.5,51.0,2024,8
2024-09-01,96.2,13.3,13.2,31103.0,47.1,71.6,79.0,2024,9
2024-10-01,144.6,11.3,10.6,17581.0,24.7,36.5,132.0,2024,10
2024-11-01,145.0,9.1,8.5,7708.0,12.0,16.1,191.0,2024,11
2024-12-01,76.9,7.5,6.6,6364.0,13.1,16.1,250.0,2024,12

