date,total_rainfall,mean_temperature,soil_temperature,solar_radiation,potential_evapotranspiration,evaporation,degree_days_below_fiften_point_five_degrees_celsius
01-01-2021,131.3,5.8,4.9,numpy.nan,11.7,16.4,numpy.nan
01-01-2022,38.3,6.5,5.7,8502.0,13.9,17.5,281.0
01-01-2023,134.6,6.1,5.0,9290.0,12.5,15.3,293.0
01-01-2024,99.5,4.8,4.0,9611.0,14.1,17.0,331.0
01-01-2025,170.9,5.4,4.5,8991.0,11.3,14.4,315.0
01-02-2021,97.2,5.9,4.9,numpy.nan,18.8,28.0,numpy.nan
01-02-2022,112.3,7.0,6.2,15656.0,20.6,30.6,238.0
01-02-2023,15.2,7.4,5.7,14574.0,19.6,27.7,228.0
01-02-2024,157.7,8.0,7.3,15141.0,18.5,27.1,217.0
01-02-2025,213.4,6.9,5.7,13884.0,17.6,26.6,240.0
01-03-2021,91.5,6.8,5.9,numpy.nan,31.8,49.1,numpy.nan
01-03-2022,61.9,7.3,5.8,35033.0,43.4,66.2,254.0
01-03-2023,211.4,7.3,6.6,21900.0,29.7,47.3,255.0
01-03-2024,168.2,7.5,7.1,24948.0,29.5,49.4,248.0
01-03-2025,43.3,8.0,6.8,28582.0,38.0,56.9,234.0
01-04-2021,86.5,8.5,8.2,numpy.nan,51.8,79.4,numpy.nan
01-04-2022,64.9,9.0,9.1,44655.0,58.0,89.1,194.0
01-04-2023,52.0,8.9,9.1,36599.0,47.6,75.3,199.0
01-04-2024,107.1,9.3,9.5,40987.0,51.7,84.3,187.0
01-04-2025,106.6,10.3,10.2,48909.0,62.3,94.9,159.0
01-05-2021,80.8,11.0,11.5,numpy.nan,70.2,106.1,numpy.nan
01-05-2022,35.7,12.1,13.2,54430.0,76.3,118.7,112.0
01-05-2023,44.9,12.7,14.0,61773.0,87.8,124.8,98.0
01-05-2024,109.6,12.4,13.0,50335.0,70.7,110.5,107.0
01-05-2025,26.4,13.2,14.9,70516.0,96.3,138.6,89.0
01-06-2021,83.3,13.5,14.4,numpy.nan,82.0,120.6,numpy.nan
01-06-2022,84.1,13.4,14.6,50965.0,79.3,122.5,79.0
01-06-2023,50.3,15.8,18.0,61140.0,91.4,133.1,31.0
01-06-2024,35.1,13.4,15.5,60515.0,89.7,137.6,82.0
01-06-2025,47.0,14.2,16.0,52025.0,75.5,108.3,62.0
01-07-2021,87.2,15.1,15.7,numpy.nan,79.4,114.6,numpy.nan
01-07-2022,28.1,16.1,16.7,55126.0,93.6,127.5,32.0
01-07-2023,145.2,14.7,15.8,51925.0,79.0,120.9,50.0
01-07-2024,58.5,14.5,15.8,52007.0,78.3,118.8,56.0
01-07-2025,2.8,16.9,numpy.nan,0.0,51.6,74.9,numpy.nan
01-08-2021,94.6,15.0,15.2,numpy.nan,67.0,96.2,numpy.nan
01-08-2022,14.2,17.1,17.2,57755.0,96.6,134.6,28.0
01-08-2023,117.8,15.4,15.7,44411.0,67.4,102.2,32.0
01-08-2024,71.6,14.7,15.6,44076.0,63.8,97.5,51.0
01-08-2025,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan
01-09-2021,92.0,13.3,13.1,numpy.nan,45.2,65.6,numpy.nan
01-09-2022,162.7,13.8,13.6,31866.0,49.9,71.6,68.0
01-09-2023,171.4,14.6,14.6,32707.0,45.5,69.5,61.0
01-09-2024,96.2,13.3,13.2,31103.0,47.1,71.6,79.0
01-09-2025,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan
01-10-2021,131.2,10.5,10.0,numpy.nan,24.4,35.5,numpy.nan
01-10-2022,232.5,11.9,11.6,17721.0,25.7,37.6,112.0
01-10-2023,307.2,11.2,11.1,17057.0,21.7,31.5,137.0
01-10-2024,144.6,11.3,10.6,17581.0,24.7,36.5,132.0
01-10-2025,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan
01-11-2021,127.0,7.8,7.2,numpy.nan,12.8,18.0,numpy.nan
01-11-2022,203.4,8.8,7.9,10159.0,12.7,16.5,202.0
01-11-2023,108.2,8.1,7.4,12720.0,15.4,19.0,223.0
01-11-2024,145.0,9.1,8.5,7708.0,12.0,16.1,191.0
01-11-2025,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan
01-12-2021,136.6,6.2,5.6,numpy.nan,10.2,13.7,numpy.nan
01-12-2022,112.6,4.7,4.5,8257.0,10.7,11.9,334.0
01-12-2023,169.1,7.6,6.9,7160.0,12.1,15.2,244.0
01-12-2024,76.9,7.5,6.6,6364.0,13.1,16.1,250.0
01-12-2025,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan,numpy.nan
